Date,Close
2020-02-20,"−0,3127"
2020-02-19,"−0,3089"
2020-02-18,"−0,3022"
2020-02-17,"−0,2977"
2020-02-14,"−0,295"
2020-02-13,"−0,281"
2020-02-12,"−0,2714"
2020-02-11,"−0,2754"
2020-02-10,"−0,2845"
2020-02-07,"−0,2594"
2020-02-06,"−0,25"
2020-02-05,"−0,243"
2020-02-04,"−0,2695"
2020-02-03,"−0,2984"
2020-01-31,"−0,2948"
2020-01-30,"−0,2747"
2020-01-29,"−0,2509"
2020-01-28,"−0,2355"
2020-01-27,"−0,2592"
2020-01-24,"−0,2242"
2020-01-23,"−0,2059"
2020-01-22,"−0,1772"
2020-01-21,"−0,1695"
2020-01-20,"−0,1549"
2020-01-17,"−0,1559"
2020-01-16,"−0,1562"
2020-01-15,"−0,1413"
2020-01-14,"−0,1266"
2020-01-13,"−0,1268"
2020-01-10,"−0,1482"
2020-01-09,"−0,145"
2020-01-08,"−0,1618"
2020-01-07,"−0,1943"
2020-01-06,"−0,1867"
2020-01-03,"−0,1782"
2020-01-02,"−0,1436"
2019-12-31,
